product_name,price,unit,unit_price,image_name,integration_date,supermarket
Clementoni Mio robot,7499,Ft,,clementoni-mio-robot-2005100505416-1-5k.png,2021-11-11 15:36:06.353737,tesco
Clementoni múzeumos kirakó,1999,Ft/db,,muzeumos-kirako-2005100506731-1-5k.png,2021-11-11 15:36:06.353737,tesco
Clementoni színterápiás kirakó,2399,Ft/db,,szinterapias-kirako-2005100506736-1-5k.png,2021-11-11 15:36:06.353737,tesco
Clemmy szenzoros játék vonat,5299,Ft,db=5299.00Ft,clemmy-szenzoros-jatekvonat-2005100608490-1-5k.png,2021-11-11 15:36:06.353737,tesco
Clin Pro Nature szórófejes ablaktisztító,579,Ft,1l=1158Ft,clin-pro-nature-2004020262346-1-5k.png,2021-11-11 15:36:06.362014,tesco
Cluedo hazugok társasjáték,8699,Ft,6hazugságkártyaés6igazságkártya,cluedo-hazugok-tarsasjatek-2005100612825-1-5k.png,2021-11-11 15:36:06.363012,tesco
"Coca-Cola, Coca-Cola Zero vagy Fanta narancs dobozos szénsavas üdítőital multipack",599,Ft/cs,1l=454Ft,coca-cola-coca-cola-zero-vagy-fanta-narancs-dobozos-szensavas-uditoital-multipack-4x0-33l-2004020235658-1-5k.png,2021-11-11 15:36:06.363012,tesco
Colgate Total fogkrém,629,Ft,1l=8387Ft,colgate-total-fogkrem-2004020253180-1-5k.png,2021-11-11 15:36:06.364011,tesco
Colt Express társasjáték,7899,Ft,,colt-express-tarsasjatek-2005100611820-1-5k.png,2021-11-11 15:36:06.365008,tesco
Concept társasjáték,7899,Ft,,concept-tarsasjatek-2005100505480-1-5k.png,2021-11-11 15:36:06.366006,tesco
Corega műfogsorrögzítő krém és műfogsortisztító tabletta,849,Ft/db,,,2021-11-11 15:36:06.366286,tesco
Costa Coffee Signature Blend Dark Roast őrölt kávé,500,Ft/cs,,,2021-11-11 15:36:06.367322,tesco
Crazy Chic divat & ékszerek szett,5099,Ft/szett,,crazy-chic-divat-ekszerek-szett-2005100608492-1-5k.png,2021-11-11 15:36:06.368366,tesco
Crazy Chic Superstar sminkkészlet,7399,Ft/szett,,crazy-chic-superstar-sminkkeszlet-2005100616140-1-5k.png,2021-11-11 15:36:06.369400,tesco
Creamfields UHT tej,179,Ft/db,,creamfields-uht-tej-2004020262976-1-5k.png,2021-11-11 15:36:06.369629,tesco
Create A Road dinós versenyautó-pálya,5999,Ft/szett,,create-a-road-dinos-versenyauto-palya-2005100608272-1-5k.png,2021-11-11 15:36:06.370662,tesco
Crema Bianco habspray,379,Ft,1kg=1516Ft,crema-bianco-habspray-2004008341583-1-5k.png,2021-11-11 15:36:06.370662,tesco
Cry Babies arany baba házikóval,4699,Ft,,cry-babies-arany-baba-hazikoval-2005100616136-1-5k.png,2021-11-11 15:36:06.370662,tesco
Cry babies könnyes baba Fantasy meglepetés házikóban,5799,Ft,,cry-babies-konnyes-baba-fantasy-meglepetes-hazikoban-2005100616134-1-5k.png,2021-11-11 15:36:06.370662,tesco
